Country,Cumulative_cases,Cumulative_deaths
Afghanistan,39799,1477
Albania,15399,420
Algeria,53072,1801
American Samoa,0,0
Andorra,2696,55
Angola,6366,218
Anguilla,3,0
Antigua and Barbuda,111,3
Argentina,883882,23581
Armenia,56451,1020
Aruba,4150,31
Australia,27264,898
Austria,55983,864
Azerbaijan,41982,609
Bahamas,5023,106
Bahrain,75614,275
Bangladesh,378266,5524
Barbados,206,7
Belarus,83534,896
Belgium,162165,10191
Belize,2496,36
Benin,2411,41
Bermuda,184,9
Bhutan,309,0
Bolivia (Plurinational State of),138463,8292
"Bonaire, Sint Eustatius and Saba",148,2
Bosnia and Herzegovina,30645,921
Botswana,3219,18
Brazil,5082637,150198
British Virgin Islands,71,1
Brunei Darussalam,146,3
Bulgaria,24402,892
Burkina Faso,2241,60
Burundi,525,1
Cabo Verde,7072,75
Cambodia,283,0
Cameroon,21160,420
Canada,180179,9608
Cayman Islands,221,1
Central African Republic,4854,62
Chad,1304,92
Chile,481371,13318
China,91333,4746
Colombia,902747,27660
Comoros,495,7
Congo,5118,90
Cook Islands,0,0
Costa Rica,87439,1076
Croatia,20440,324
Cuba,5978,123
Curaçao,532,1
Cyprus,1986,25
Czechia,117110,987
Côte d’Ivoire,20036,120
Democratic People's Republic of Korea,0,0
Democratic Republic of the Congo,10840,276
Denmark,32422,669
Djibouti,5424,61
Dominica,32,0
Dominican Republic,118477,2173
Ecuador,146828,12188
Egypt,104516,6052
El Salvador,30196,890
Equatorial Guinea,5063,83
Eritrea,414,0
Estonia,3865,68
Eswatini,5669,113
Ethiopia,84295,1287
Falkland Islands (Malvinas),13,0
Faroe Islands,477,0
Fiji,32,2
Finland,11580,346
France,707469,32495
French Guiana,10144,69
French Polynesia,2754,10
Gabon,8815,54
Gambia,3628,117
Georgia,12272,91
Germany,322864,9615
Ghana,47005,306
Gibraltar,476,0
Greece,22358,449
Greenland,16,0
Grenada,24,0
Guadeloupe,6483,77
Guam,3078,60
Guatemala,97715,3384
Guernsey,258,13
Guinea,11022,69
Guinea-Bissau,2385,40
Guyana,3405,102
Haiti,8882,230
Holy See,12,0
Honduras,83146,2504
Hungary,38577,968
Iceland,3526,10
India,7120538,109150
Indonesia,333449,11844
Iran (Islamic Republic of),500075,28544
Iraq,402330,9852
Ireland,42528,1826
Isle of Man,345,24
Israel,286109,1877
Italy,354950,36166
Jamaica,7718,139
Japan,89347,1629
Jersey,449,32
Jordan,24926,191
Kazakhstan,143632,2106
Kenya,41546,766
Kiribati,0,0
Kosovo[1],16136,637
Kuwait,111116,658
Kyrgyzstan,49528,1090
Lao People's Democratic Republic,23,0
Latvia,2670,40
Lebanon,53568,459
Lesotho,1767,40
Liberia,1370,82
Libya,42712,631
Liechtenstein,138,1
Lithuania,6122,103
Luxembourg,9360,130
Madagascar,16718,237
Malawi,5821,180
Malaysia,15657,157
Maldives,10894,35
Mali,3286,132
Malta,3776,41
Marshall Islands,0,0
Martinique,1851,22
Mauritania,7550,163
Mauritius,395,10
Mayotte,3989,43
Mexico,814328,83642
Micronesia (Federated States of),0,0
Monaco,234,1
Mongolia,316,0
Montenegro,13986,202
Montserrat,13,1
Morocco,152404,2605
Mozambique,10001,71
Myanmar,27974,646
Namibia,11936,128
Nauru,0,0
Nepal,107755,636
Netherlands,174450,6575
New Caledonia,27,0
New Zealand,1515,25
Nicaragua,4225,153
Niger,1201,69
Nigeria,60266,1115
Niue,0,0
North Macedonia,20937,792
Northern Mariana Islands (Commonwealth of the),77,2
Norway,15221,275
Oman,105890,1038
Other,741,13
Pakistan,319317,6580
Palau,0,0
Panama,119666,2482
Papua New Guinea,554,7
Paraguay,48978,1065
Peru,846088,33223
Philippines,339341,6321
Pitcairn Islands,0,0
Poland,125816,3004
Portugal,86664,2080
Puerto Rico,53671,730
Qatar,127985,220
Republic of Korea,24703,433
Republic of Moldova,62151,1461
Romania,155283,5411
Russian Federation,1312310,22722
Rwanda,4896,31
Réunion,4491,16
Saint Barthélemy,65,0
Saint Helena,0,0
Saint Kitts and Nevis,19,0
Saint Lucia,29,0
Saint Martin,466,8
Saint Pierre and Miquelon,16,0
Saint Vincent and the Grenadines,64,0
Samoa,0,0
San Marino,766,42
Sao Tome and Principe,929,15
Saudi Arabia,339267,5043
Senegal,15213,313
Serbia,34787,763
Seychelles,147,0
Sierra Leone,2300,72
Singapore,57876,27
Sint Maarten,699,22
Slovakia,19851,61
Slovenia,8665,142
Solomon Islands,2,0
Somalia,3864,99
South Africa,692471,17780
South Sudan,2787,55
Spain,861112,32929
Sri Lanka,4752,13
Sudan,13685,836
Suriname,5035,107
Sweden,98451,5894
Switzerland,60230,1793
Syrian Arab Republic,4718,224
Tajikistan,10222,79
Thailand,3641,59
The United Kingdom,603720,42825
Timor-Leste,28,0
Togo,1940,49
Tokelau,0,0
Tonga,0,0
Trinidad and Tobago,5043,90
Tunisia,32556,478
Turkey,335533,8837
Turkmenistan,0,0
Turks and Caicos Islands,696,6
Tuvalu,0,0
Uganda,9801,93
Ukraine,265454,5015
United Arab Emirates,106229,445
United Republic of Tanzania,509,21
United States Virgin Islands,1327,20
United States of America,7636803,212804
Uruguay,2268,50
Uzbekistan,61205,507
Vanuatu,0,0
Venezuela (Bolivarian Republic of),82453,691
Viet Nam,1109,35
Wallis and Futuna,0,0
Yemen,2056,596
Zambia,15458,336
Zimbabwe,8011,230
"occupied Palestinian territory, including east Jerusalem",55556,445
